"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"softmax(Q)",2455.33239556944
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"softmax(Q * gaze)",2492.39092336037
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"softmax(Q) * gaze",2617.91679321896
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"softmax(Q) + gaze",2414.54685991776
29,2615.50146341463,1554.25984336011,82,171.639286419109,2787.14074983374,2443.86217699553,"softmax(Q + gaze)",2488.29810737091
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"Q",2504.59272372268
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"Q * gaze",2533.9382442947
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"Q + gaze",2431.84122922135
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"softmax(Q)",2414.3249494705
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"softmax(Q * gaze)",2401.21434083674
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"softmax(Q) * gaze",2478.92424289094
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"softmax(Q) + gaze",2384.45218855062
30,2431.26987951807,1567.67612333258,83,172.074809581107,2603.34468909918,2259.19506993697,"softmax(Q + gaze)",2371.86957533213
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"Q",2501.52008259558
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"Q * gaze",2523.69377871525
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"Q + gaze",2451.21444342384
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"softmax(Q)",2451.066184624
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"softmax(Q * gaze)",2444.60350453412
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"softmax(Q) * gaze",2459.88781867792
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"softmax(Q) + gaze",2402.17539239953
31,2310.48280487805,1266.58577288795,82,139.870999804705,2450.35380468275,2170.61180507334,"softmax(Q + gaze)",2437.21324693902
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"Q",2458.51291583719
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"Q * gaze",2572.70969510666
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"Q + gaze",2461.29138217522
32,2718.01518072289,1679.30001665209,83,184.327123628491,2902.34230435138,2533.6880570944,"softmax(Q)",2373.90036798179
