"subject","gaze_beta","model","gaze_effect","fitted_effect"
23,0.0523987592542984,"softmax(Q * gaze)",0.0833333333333334,0.374166666666667
23,0.0523987592542984,"softmax(Q) * gaze",0.0833333333333334,0.17
23,0.0523987592542984,"softmax(Q) + gaze",0.0833333333333334,-0.00750000000000006
23,0.0523987592542984,"softmax(Q + gaze)",0.0833333333333334,0.0475
24,0.4165182771948,"Q",0.5,-0.0258333333333334
24,0.4165182771948,"Q * gaze",0.5,0.771666666666667
24,0.4165182771948,"Q + gaze",0.5,0.715833333333333
24,0.4165182771948,"softmax(Q)",0.5,0.0116666666666667
24,0.4165182771948,"softmax(Q * gaze)",0.5,0.698333333333333
24,0.4165182771948,"softmax(Q) * gaze",0.5,0.741666666666667
24,0.4165182771948,"softmax(Q) + gaze",0.5,0.669166666666667
24,0.4165182771948,"softmax(Q + gaze)",0.5,0.663333333333333
25,0.276579003303818,"Q",0.25,0.0983333333333334
25,0.276579003303818,"Q * gaze",0.25,0.6525
25,0.276579003303818,"Q + gaze",0.25,0.245833333333333
25,0.276579003303818,"softmax(Q)",0.25,0.0875
25,0.276579003303818,"softmax(Q * gaze)",0.25,0.513333333333333
25,0.276579003303818,"softmax(Q) * gaze",0.25,0.514166666666667
25,0.276579003303818,"softmax(Q) + gaze",0.25,0.203333333333333
25,0.276579003303818,"softmax(Q + gaze)",0.25,0.313333333333333
