"subject","acc","model","fit"
71,0.75,"Q * gaze",0.676666666666667
71,0.75,"Q + gaze",0.660666666666667
71,0.75,"softmax(Q)",0.784
71,0.75,"softmax(Q * gaze)",0.777166666666667
71,0.75,"softmax(Q) * gaze",0.768333333333333
71,0.75,"softmax(Q) + gaze",0.771
72,0.55,"Q",0.5115
72,0.55,"Q * gaze",0.5185
72,0.55,"Q + gaze",0.527666666666667
72,0.55,"softmax(Q)",0.511833333333333
72,0.55,"softmax(Q * gaze)",0.5185
72,0.55,"softmax(Q) * gaze",0.526166666666666
72,0.55,"softmax(Q) + gaze",0.605333333333333
73,0.65,"Q",0.648833333333333
73,0.65,"Q * gaze",0.628666666666666
73,0.65,"Q + gaze",0.633
73,0.65,"softmax(Q)",0.712333333333333
73,0.65,"softmax(Q * gaze)",0.600166666666667
73,0.65,"softmax(Q) * gaze",0.683166666666667
73,0.65,"softmax(Q) + gaze",0.682833333333333
74,0.8,"Q",0.7435
74,0.8,"Q * gaze",0.698333333333333
74,0.8,"Q + gaze",0.726333333333334
74,0.8,"softmax(Q)",0.858666666666667
74,0.8,"softmax(Q * gaze)",0.713333333333333
74,0.8,"softmax(Q) * gaze",0.799666666666666
74,0.8,"softmax(Q) + gaze",0.823333333333333
75,0.716666666666667,"Q",0.647166666666666
75,0.716666666666667,"Q * gaze",0.660833333333334
75,0.716666666666667,"Q + gaze",0.674333333333333
75,0.716666666666667,"softmax(Q)",0.6835
75,0.716666666666667,"softmax(Q * gaze)",0.770166666666667
75,0.716666666666667,"softmax(Q) * gaze",0.675
75,0.716666666666667,"softmax(Q) + gaze",0.7
76,0.866666666666667,"Q",0.7725
76,0.866666666666667,"Q * gaze",0.7525
76,0.866666666666667,"Q + gaze",0.736833333333333
76,0.866666666666667,"softmax(Q)",0.912666666666667
76,0.866666666666667,"softmax(Q * gaze)",0.852833333333333
76,0.866666666666667,"softmax(Q) * gaze",0.879
76,0.866666666666667,"softmax(Q) + gaze",0.874666666666667
77,0.683333333333333,"Q",0.5835
77,0.683333333333333,"Q * gaze",0.562
77,0.683333333333333,"Q + gaze",0.576833333333334
77,0.683333333333333,"softmax(Q)",0.653333333333334
77,0.683333333333333,"softmax(Q * gaze)",0.681833333333333
77,0.683333333333333,"softmax(Q) * gaze",0.623166666666667
77,0.683333333333333,"softmax(Q) + gaze",0.69
78,0.616666666666667,"Q",0.550833333333333
78,0.616666666666667,"Q * gaze",0.545333333333333
78,0.616666666666667,"Q + gaze",0.543333333333334
78,0.616666666666667,"softmax(Q)",0.575166666666666
78,0.616666666666667,"softmax(Q * gaze)",0.743333333333333
78,0.616666666666667,"softmax(Q) * gaze",0.567
78,0.616666666666667,"softmax(Q) + gaze",0.661666666666667
79,0.883333333333333,"Q",0.698166666666667
79,0.883333333333333,"Q * gaze",0.722666666666667
79,0.883333333333333,"Q + gaze",0.744833333333333
79,0.883333333333333,"softmax(Q)",0.9225
79,0.883333333333333,"softmax(Q * gaze)",0.940166666666667
79,0.883333333333333,"softmax(Q) * gaze",0.784833333333333
79,0.883333333333333,"softmax(Q) + gaze",0.919166666666667
80,0.783333333333333,"Q",0.682666666666667
80,0.783333333333333,"Q * gaze",0.657833333333334
80,0.783333333333333,"Q + gaze",0.631833333333334
80,0.783333333333333,"softmax(Q)",0.772666666666667
80,0.783333333333333,"softmax(Q * gaze)",0.774666666666667
80,0.783333333333333,"softmax(Q) * gaze",0.727
80,0.783333333333333,"softmax(Q) + gaze",0.744833333333334
81,0.85,"Q",0.735
81,0.85,"Q * gaze",0.75
81,0.85,"Q + gaze",0.712833333333333
81,0.85,"softmax(Q)",0.828
81,0.85,"softmax(Q * gaze)",0.849166666666666
81,0.85,"softmax(Q) * gaze",0.824833333333333
81,0.85,"softmax(Q) + gaze",0.824
82,0.683333333333333,"Q",0.6085
82,0.683333333333333,"Q * gaze",0.625166666666667
82,0.683333333333333,"Q + gaze",0.621833333333333
82,0.683333333333333,"softmax(Q)",0.655
82,0.683333333333333,"softmax(Q * gaze)",0.785166666666666
82,0.683333333333333,"softmax(Q) * gaze",0.674333333333333
82,0.683333333333333,"softmax(Q) + gaze",0.684
83,0.75,"Q",0.703833333333333
83,0.75,"Q * gaze",0.687333333333333
83,0.75,"Q + gaze",0.703166666666666
83,0.75,"softmax(Q)",0.8135
83,0.75,"softmax(Q * gaze)",0.731
83,0.75,"softmax(Q) * gaze",0.768166666666667
83,0.75,"softmax(Q) + gaze",0.798666666666667
84,0.766666666666667,"Q",0.7125
84,0.766666666666667,"Q * gaze",0.714333333333333
84,0.766666666666667,"Q + gaze",0.709833333333333
84,0.766666666666667,"softmax(Q)",0.796166666666667
84,0.766666666666667,"softmax(Q * gaze)",0.821166666666667
84,0.766666666666667,"softmax(Q) * gaze",0.7635
84,0.766666666666667,"softmax(Q) + gaze",0.785666666666667
85,0.483333333333333,"Q",0.511666666666666
85,0.483333333333333,"Q * gaze",0.506166666666667
85,0.483333333333333,"Q + gaze",0.516833333333333
85,0.483333333333333,"softmax(Q)",0.5205
85,0.483333333333333,"softmax(Q * gaze)",0.5025
85,0.483333333333333,"softmax(Q) * gaze",0.516166666666667
85,0.483333333333333,"softmax(Q) + gaze",0.521833333333333
86,0.816666666666667,"Q",0.700666666666667
86,0.816666666666667,"Q * gaze",0.611
86,0.816666666666667,"Q + gaze",0.697666666666667
86,0.816666666666667,"softmax(Q)",0.7435
86,0.816666666666667,"softmax(Q * gaze)",0.670333333333333
